ccusto_duplicata,id_fornecedor,documento,parcela,valor_orig,valor_a_pagar,data_emissao,data_movimento,data_pgto,observacao,doc_origem
4.04.01,10.0,SAL040117_01,2.0,-11420.8664,-11420.8664,2017-02-05,2017-02-05,2017-02-20 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_02,2.0,-21210.1804,-21210.1804,2017-02-18,2017-02-18,2017-03-05 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_01,3.0,-11132.1313,-11132.1313,2017-03-05,2017-03-05,2017-03-20 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_02,3.0,-20673.9582,-20673.9582,2017-03-21,2017-03-21,2017-04-05 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_01,4.0,-12082.7457,-12082.7457,2017-04-05,2017-04-05,2017-04-20 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_02,4.0,-22439.3848,-22439.3848,2017-04-20,2017-04-20,2017-05-05 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_01,5.0,-11718.2077,-11718.2077,2017-05-05,2017-05-05,2017-05-20 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_02,5.0,-21762.3858,-21762.3858,2017-05-21,2017-05-21,2017-06-05 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_01,6.0,-12709.7395,-12709.7395,2017-06-05,2017-06-05,2017-06-20 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_02,6.0,-23603.8019,-23603.8019,2017-06-20,2017-06-20,2017-07-05 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_01,7.0,-10206.4529,-10206.4529,2017-07-05,2017-07-05,2017-07-20 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_02,7.0,-18954.8412,-18954.8412,2017-07-21,2017-07-21,2017-08-05 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_01,8.0,-11348.4836,-11348.4836,2017-08-05,2017-08-05,2017-08-20 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_02,8.0,-21075.7553,-21075.7553,2017-08-21,2017-08-21,2017-09-05 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_01,9.0,-11169.1062,-11169.1062,2017-09-05,2017-09-05,2017-09-20 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_02,9.0,-20742.6258,-20742.6258,2017-09-20,2017-09-20,2017-10-05 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_01,10.0,-18475.3629,-18475.3629,2017-10-05,2017-10-05,2017-10-20 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_02,10.0,-34311.3882,-34311.3882,2017-10-21,2017-10-21,2017-11-05 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_01,11.0,-9678.5194,-9678.5194,2017-11-05,2017-11-05,2017-11-20 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_02,11.0,-17974.3931,-17974.3931,2017-11-20,2017-11-20,2017-12-05 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_01,12.0,-23984.884,-23984.884,2017-12-05,2017-12-05,2017-12-20 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040117_02,12.0,-44543.356,-44543.356,2017-12-21,2017-12-21,2018-01-05 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040118_01,1.0,-25141.986,-25141.986,2018-01-05,2018-01-05,2018-01-20 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040118_02,1.0,-46692.2597,-46692.2597,2018-01-21,2018-01-21,2018-02-05 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040118_01,2.0,-24604.5515,-24604.5515,2018-02-05,2018-02-05,2018-02-20 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040118_02,2.0,-45694.167,-45694.167,2018-02-20,2018-02-20,2018-03-07 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040118_01,3.0,-14907.2421,-14907.2421,2018-03-05,2018-03-05,2018-03-20 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040118_02,3.0,-27684.8782,-27684.8782,2018-03-21,2018-03-21,2018-04-05 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040118_01,4.0,-13473.7745,-13473.7745,2018-04-05,2018-04-05,2018-04-20 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040118_02,4.0,-25022.7241,-25022.7241,2018-04-20,2018-04-20,2018-05-05 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040118_01,5.0,-11946.8861,-11946.8861,2018-05-05,2018-05-05,2018-05-20 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040118_02,5.0,-22187.0743,-22187.0743,2018-05-21,2018-05-21,2018-06-05 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040118_01,6.0,-13129.9964,-13129.9964,2018-06-05,2018-06-05,2018-06-20 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040118_02,6.0,-24384.279,-24384.279,2018-06-20,2018-06-20,2018-07-05 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040118_01,7.0,-10440.111,-10440.111,2018-07-05,2018-07-05,2018-07-20 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040118_02,7.0,-19388.7776,-19388.7776,2018-07-21,2018-07-21,2018-08-05 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040118_01,8.0,-12088.4068,-12088.4068,2018-08-05,2018-08-05,2018-08-20 00:00:00,,CTAS_PAGAR
4.04.01,10.0,SAL040118_02,8.0,-22449.8984,-22449.8984,2018-08-21,2018-08-21,2018-09-05 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_01,2.0,-8765.7927,-8765.7927,2017-02-05,2017-02-05,2017-02-20 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_02,2.0,-16279.3293,-16279.3293,2017-02-18,2017-02-18,2017-03-05 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_01,3.0,-8544.1815,-8544.1815,2017-03-05,2017-03-05,2017-03-20 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_02,3.0,-15867.7657,-15867.7657,2017-03-21,2017-03-21,2017-04-05 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_01,4.0,-9273.8012,-9273.8012,2017-04-05,2017-04-05,2017-04-20 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_02,4.0,-17222.7736,-17222.7736,2017-04-20,2017-04-20,2017-05-05 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_01,5.0,-8994.0094,-8994.0094,2017-05-05,2017-05-05,2017-05-20 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_02,5.0,-16703.1604,-16703.1604,2017-05-21,2017-05-21,2017-06-05 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_01,6.0,-9755.0342,-9755.0342,2017-06-05,2017-06-05,2017-06-20 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_02,6.0,-18116.492,-18116.492,2017-06-20,2017-06-20,2017-07-05 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_01,7.0,-7833.7009,-7833.7009,2017-07-05,2017-07-05,2017-07-20 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_02,7.0,-14548.3016,-14548.3016,2017-07-21,2017-07-21,2017-08-05 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_01,8.0,-8710.2372,-8710.2372,2017-08-05,2017-08-05,2017-08-20 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_02,8.0,-16176.1547,-16176.1547,2017-08-21,2017-08-21,2017-09-05 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_01,9.0,-8572.5607,-8572.5607,2017-09-05,2017-09-05,2017-09-20 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_02,9.0,-15920.4698,-15920.4698,2017-09-20,2017-09-20,2017-10-05 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_01,10.0,-16228.2784,-16228.2784,2017-10-05,2017-10-05,2017-10-20 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_02,10.0,-30138.2314,-30138.2314,2017-10-21,2017-10-21,2017-11-05 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_01,11.0,-8501.3598,-8501.3598,2017-11-05,2017-11-05,2017-11-20 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_02,11.0,-15788.2396,-15788.2396,2017-11-20,2017-11-20,2017-12-05 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_01,12.0,-20464.8339,-20464.8339,2017-12-05,2017-12-05,2017-12-20 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040517_02,12.0,-38006.1201,-38006.1201,2017-12-21,2017-12-21,2018-01-05 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040518_01,1.0,-22084.0669,-22084.0669,2018-01-05,2018-01-05,2018-01-20 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040518_02,1.0,-41013.2671,-41013.2671,2018-01-21,2018-01-21,2018-02-05 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040518_01,2.0,-21611.9984,-21611.9984,2018-02-05,2018-02-05,2018-02-20 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040518_02,2.0,-40136.5684,-40136.5684,2018-02-20,2018-02-20,2018-03-07 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040518_01,3.0,-13094.1339,-13094.1339,2018-03-05,2018-03-05,2018-03-20 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040518_02,3.0,-24317.6773,-24317.6773,2018-03-21,2018-03-21,2018-04-05 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040518_01,4.0,-11835.0133,-11835.0133,2018-04-05,2018-04-05,2018-04-20 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040518_02,4.0,-21979.3104,-21979.3104,2018-04-20,2018-04-20,2018-05-05 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040518_01,5.0,-10493.8342,-10493.8342,2018-05-05,2018-05-05,2018-05-20 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040518_02,5.0,-19488.5492,-19488.5492,2018-05-21,2018-05-21,2018-06-05 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040518_01,6.0,-11533.0475,-11533.0475,2018-06-05,2018-06-05,2018-06-20 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040518_02,6.0,-21418.5168,-21418.5168,2018-06-20,2018-06-20,2018-07-05 00:00:00,,CTAS_PAGAR
